U,W,F,M,n_etfs,n_factors,S,C,D,calmar,monthly_win,n_signals,r_bear_22_sharpe,r_bear_24_sharpe,r_range_21_sharpe,r_range_23_sharpe,r_bull_1920_sharpe,source,M2,model,wall,factor,key
12ETF,w2020,base5,ElasticNet(a=0.01),12.0,5.0,-0.2258903011643602,-0.0533260696688571,-0.4227132901710743,-0.1261518644168386,0.4477611940298507,66.0,-1.0476481656222378,0.8058587187409272,-1.133861384722392,-0.3406421117630974,,v3,ElasticNet,ElasticNet,w2020,base5,12ETF|w2020|base5|ElasticNet
12ETF,w20,base5,Ridge,,,-0.0813033604294574,-0.0313366021412165,-0.4273215380640276,,,,,,,,,ridge42,Ridge,Ridge,w2020,base5,12ETF|w2020|base5|Ridge
12ETF,w2020,pure2,ElasticNet(a=0.01),12.0,2.0,0.349926359854641,0.0473016222902746,-0.2858280043572248,0.1654898105475963,0.5074626865671642,66.0,-0.5376151943034078,0.5938590479423466,0.4159183769199972,-0.1107258490790295,,v3,ElasticNet,ElasticNet,w2020,pure2,12ETF|w2020|pure2|ElasticNet
12ETF,w20,pure2,Ridge,,,0.3162715325306746,0.0458360945820923,-0.3399220207294094,,,,,,,,,ridge42,Ridge,Ridge,w2020,pure2,12ETF|w2020|pure2|Ridge
12ETF,w2022,+comm,ElasticNet(a=0.01),12.0,3.0,0.5302967333857811,0.0796197804324376,-0.1924639375335484,0.413686748035897,0.5238095238095238,35.0,,0.5938590479423501,,-0.5876489823564439,,v3,ElasticNet,ElasticNet,w2022,+comm,12ETF|w2022|+comm|ElasticNet
12ETF,w22,+comm,Ridge,,,0.5478734991190916,0.102516421778767,-0.2737781284513109,,,,,,,,,ridge42,Ridge,Ridge,w2022,+comm,12ETF|w2022|+comm|Ridge
12ETF,w2022,+gold,ElasticNet(a=0.01),12.0,3.0,0.5302967333857811,0.0796197804324376,-0.1924639375335484,0.413686748035897,0.5238095238095238,35.0,,0.5938590479423501,,-0.5876489823564439,,v3,ElasticNet,ElasticNet,w2022,+gold,12ETF|w2022|+gold|ElasticNet
12ETF,w22,+gold,Ridge,,,0.5155208059505187,0.0938491836115209,-0.1957842432630315,,,,,,,,,ridge42,Ridge,Ridge,w2022,+gold,12ETF|w2022|+gold|Ridge
12ETF,w2022,+margin,ElasticNet(a=0.01),12.0,3.0,0.5302967333857811,0.0796197804324376,-0.1924639375335484,0.413686748035897,0.5238095238095238,5.0,,0.5938590479423501,,-0.5876489823564439,,v3,ElasticNet,ElasticNet,w2022,+margin,12ETF|w2022|+margin|ElasticNet
12ETF,w22,+margin,Ridge,,,0.588457181474929,0.1040551215591474,-0.2036917464061338,,,,,,,,,ridge42,Ridge,Ridge,w2022,+margin,12ETF|w2022|+margin|Ridge
