策略,起始日,结束日,CAGR,Sharpe,最大回撤,Calmar,月度胜率,年化总权重交易量
Ridge 正则化排序策略,2020-09-21,2026-06-18,0.2064392030050204,0.9407804877950388,-0.2404588702992116,0.8585218867082783,0.6,6.759938476788107
LASSO 正则化排序策略,2020-09-21,2026-06-18,0.2134069576354573,0.963470487979026,-0.2404588702992115,0.8874987949910415,0.6142857142857143,6.194524105585779
固定因子合成策略,2020-09-21,2026-06-18,0.1771951553407946,0.8324400141776301,-0.2727348311419655,0.6496975637430044,0.6,6.250170119119015
沪深300ETF,2020-09-21,2026-06-18,0.027838585417256,0.2421458020406008,-0.4215702301031369,0.0660354632025258,0.5428571428571428,
行业ETF买入并持有等权基准,2020-09-21,2026-06-18,0.0653450325875732,0.4498336675859933,-0.2604386675819036,0.2509037279075442,0.5571428571428572,
