date,symbol,weight
2021-01-01,510300,0.0
2021-01-01,510500,0.0
2021-01-01,512100,0.0
2021-01-01,512480,0.0
2021-01-01,512690,0.0
2021-01-01,515000,0.0
2021-01-04,510300,0.0
2021-01-04,510500,0.0
2021-01-04,512100,0.0
2021-01-04,512480,0.0
2021-01-04,512690,0.0
2021-01-04,515000,0.0
2021-01-05,510300,0.0
2021-01-05,510500,0.0
2021-01-05,512100,0.0
2021-01-05,512480,0.0
2021-01-05,512690,0.0
2021-01-05,515000,0.0
2021-01-06,510300,0.0
2021-01-06,510500,0.0
2021-01-06,512100,0.0
2021-01-06,512480,0.0
2021-01-06,512690,0.0
2021-01-06,515000,0.0
2021-01-07,510300,0.0
2021-01-07,510500,0.0
2021-01-07,512100,0.0
2021-01-07,512480,0.0
2021-01-07,512690,0.0
2021-01-07,515000,0.0
2021-01-08,510300,0.0
2021-01-08,510500,0.0
2021-01-08,512100,0.0
2021-01-08,512480,0.0
2021-01-08,512690,0.0
2021-01-08,515000,0.0
2021-01-11,510300,0.0
2021-01-11,510500,0.0
2021-01-11,512100,0.0
2021-01-11,512480,0.0
2021-01-11,512690,0.0
2021-01-11,515000,0.0
2021-01-12,510300,0.0
2021-01-12,510500,0.0
2021-01-12,512100,0.0
2021-01-12,512480,0.0
2021-01-12,512690,0.0
2021-01-12,515000,0.0
2021-01-13,510300,0.0
2021-01-13,510500,0.0
2021-01-13,512100,0.0
2021-01-13,512480,0.0
2021-01-13,512690,0.0
2021-01-13,515000,0.0
2021-01-14,510300,0.0
2021-01-14,510500,0.0
2021-01-14,512100,0.0
2021-01-14,512480,0.0
2021-01-14,512690,0.0
2021-01-14,515000,0.0
2021-01-15,510300,0.0
2021-01-15,510500,0.0
2021-01-15,512100,0.0
2021-01-15,512480,0.0
2021-01-15,512690,0.0
2021-01-15,515000,0.0
2021-01-18,510300,0.0
2021-01-18,510500,0.0
2021-01-18,512100,0.0
2021-01-18,512480,0.0
2021-01-18,512690,0.0
2021-01-18,515000,0.0
2021-01-19,510300,0.0
2021-01-19,510500,0.0
2021-01-19,512100,0.0
2021-01-19,512480,0.0
2021-01-19,512690,0.0
2021-01-19,515000,0.0
2021-01-20,510300,0.0
2021-01-20,510500,0.0
2021-01-20,512100,0.0
2021-01-20,512480,0.0
2021-01-20,512690,0.0
2021-01-20,515000,0.0
2021-01-21,510300,0.0
2021-01-21,510500,0.0
2021-01-21,512100,0.0
2021-01-21,512480,0.0
2021-01-21,512690,0.0
2021-01-21,515000,0.0
2021-01-22,510300,0.0
2021-01-22,510500,0.0
2021-01-22,512100,0.0
2021-01-22,512480,0.0
2021-01-22,512690,0.0
2021-01-22,515000,0.0
2021-01-25,510300,0.0
2021-01-25,510500,0.0
2021-01-25,512100,0.0
2021-01-25,512480,0.0
2021-01-25,512690,0.0
2021-01-25,515000,0.0
2021-01-26,510300,0.0
2021-01-26,510500,0.0
2021-01-26,512100,0.0
2021-01-26,512480,0.0
2021-01-26,512690,0.0
2021-01-26,515000,0.0
2021-01-27,510300,0.0
2021-01-27,510500,0.0
2021-01-27,512100,0.0
2021-01-27,512480,0.0
2021-01-27,512690,0.0
2021-01-27,515000,0.0
2021-01-28,510300,0.0
2021-01-28,510500,0.0
2021-01-28,512100,0.0
2021-01-28,512480,0.0
2021-01-28,512690,0.0
2021-01-28,515000,0.0
2021-01-29,510300,0.0
2021-01-29,510500,0.0
2021-01-29,512100,0.0
2021-01-29,512480,0.0
2021-01-29,512690,0.0
2021-01-29,515000,0.0
2021-02-01,510300,0.16666666666666666
2021-02-01,510500,0.16666666666666666
2021-02-01,512100,0.16666666666666666
2021-02-01,512480,0.16666666666666666
2021-02-01,512690,0.16666666666666666
2021-02-01,515000,0.16666666666666666
2021-02-02,510300,0.16666666666666666
2021-02-02,510500,0.16666666666666666
2021-02-02,512100,0.16666666666666666
2021-02-02,512480,0.16666666666666666
2021-02-02,512690,0.16666666666666666
2021-02-02,515000,0.16666666666666666
2021-02-03,510300,0.16666666666666666
2021-02-03,510500,0.16666666666666666
2021-02-03,512100,0.16666666666666666
2021-02-03,512480,0.16666666666666666
2021-02-03,512690,0.16666666666666666
2021-02-03,515000,0.16666666666666666
2021-02-04,510300,0.16666666666666666
2021-02-04,510500,0.16666666666666666
2021-02-04,512100,0.16666666666666666
2021-02-04,512480,0.16666666666666666
2021-02-04,512690,0.16666666666666666
2021-02-04,515000,0.16666666666666666
