period,strategy,start,end,trading_days,cagr,annual_volatility,sharpe,sortino,max_drawdown,calmar,daily_win_rate,monthly_win_rate,annual_win_rate,best_month,worst_month,profit_factor,var_5_daily,cvar_5_daily,skew,kurtosis,annual_gross_turnover,avg_exposure,cash_day_share,avg_position_count,avg_max_single_weight
全共同样本,6ETF_5因子Ridge,2017-09-20,2026-06-18,2058,0.13142812402126225,0.2181626262301492,0.6753416606498218,0.9668701437998868,-0.2744613329497495,0.4788584337500289,0.4771622934888241,0.5471698113207547,0.7,0.24205600048622888,-0.11291628350546234,1.1350560360456725,-0.02109155578369848,-0.032584315893029646,-0.08060490483957616,7.4972509321243335,7.135514571931691,0.9052478134110787,0.09475218658892129,2.380952380952381,0.4474919059346746
全共同样本,6ETF_8因子等权,2017-09-20,2026-06-18,2058,0.19155201370683472,0.22322118488138215,0.8971111896665375,1.3994513389008947,-0.20629099631592696,0.9285524677649042,0.5082604470359572,0.6320754716981132,0.7,0.24205600048622888,-0.10164507696743341,1.1780628059960374,-0.021403230620348157,-0.032748323490337315,-0.08398315009947763,6.8889433633680275,6.4498505369990005,0.9514091350826045,0.04859086491739553,2.5142857142857142,0.45649404789630627
全共同样本,6ETF_8因子Ridge,2017-09-20,2026-06-18,2058,0.14228928386808204,0.2129159446404827,0.731486167451896,1.0861769296996253,-0.20629099631592818,0.689750335250553,0.4713313896987366,0.5283018867924528,0.7,0.24205600048622888,-0.10164507696743341,1.1482185253045916,-0.01986134924412286,-0.0313749396265297,-0.0071902571461140465,8.141598297283096,8.639651887608323,0.9033041788143829,0.0966958211856171,2.4,0.4399461446683632
全共同样本,8ETF_5因子Ridge,2017-09-20,2026-06-18,2058,0.11061166335491279,0.19342034748500442,0.6394767440134956,0.8936037817633319,-0.3035247241596626,0.36442389878172804,0.3814382896015549,0.4056603773584906,0.5,0.15988427031547015,-0.16278689978747907,1.1387139133271353,-0.01960061147795216,-0.029910151264195193,-0.32285068835957004,4.2916351151189,6.5008271405093385,0.7118561710398446,0.2881438289601555,1.9142857142857144,0.35199520000354384
全共同样本,8ETF_8因子等权,2017-09-20,2026-06-18,2058,0.09575907774873826,0.2366084892110514,0.5078030962033556,0.5942927903972625,-0.25119516583145973,0.38121385589477524,0.4616132167152575,0.4811320754716981,0.6,0.22429131665093127,-0.16215935707778628,1.1047317537631456,-0.021410951998001457,-0.035586332429470915,-2.118262098703682,30.03522548642091,8.907271070082171,0.8780369290573372,0.12196307094266277,2.323809523809524,0.44661824488765833
全共同样本,8ETF_8因子Ridge,2017-09-20,2026-06-18,2058,0.11356210717112525,0.18446128873749432,0.6757350455947655,0.9704232575088125,-0.2258122196574195,0.5029050568804945,0.36977648202137997,0.4339622641509434,0.5,0.18508630946385907,-0.16297078082029004,1.1496271405088634,-0.01854114384856697,-0.02788566454586655,-0.3456334021471491,5.998434943613572,7.611894199144823,0.7128279883381924,0.28717201166180756,1.8952380952380952,0.36178387343559854
全共同样本,沪深300ETF,2017-09-20,2026-06-18,2058,0.05052510920515463,0.19747845415424264,0.34830092428821213,0.4271516297376824,-0.42157023010313655,0.11984980341897893,0.500485908649174,0.5377358490566038,0.6,0.24793623607894477,-0.08637392993892523,1.0650117852738803,-0.018146669045610575,-0.028029543947156035,0.13370097498759004,7.528505679582701,0.0,1.0,0.0,,
全共同样本,8ETF等权,2017-09-20,2026-06-18,2058,0.06015986907324522,0.20095076210889165,0.39140134875903876,0.48622414542558007,-0.30965552535440655,0.19427997935574096,0.5038872691933917,0.5283018867924528,0.6,0.2169822009286475,-0.09688278186427002,1.0730588307039814,-0.019095531203146544,-0.02888943643708101,-0.149556957203605,7.452760502542378,0.0,1.0,0.0,,
2020墙后,6ETF_5因子Ridge,2021-01-04,2026-06-18,1297,0.17193863504414697,0.22526846127037226,0.8172848108199547,1.2432772205330447,-0.24045887029921253,0.7150438444221121,0.5296838858905166,0.6363636363636364,0.8333333333333334,0.24205600048622888,-0.11291628350546234,1.1569408049332042,-0.0220219310599723,-0.03295961054947222,-0.08847850789509652,6.817698900886107,6.807140484668888,1.0,0.0,2.606060606060606,0.5070110128796149
2020墙后,6ETF_8因子等权,2021-01-04,2026-06-18,1297,0.19382687922949038,0.22694028585329762,0.8945386635660029,1.3957602623270298,-0.2062909963159273,0.9395799268556124,0.5373939861218195,0.6818181818181818,0.8333333333333334,0.24205600048622888,-0.10164507696743341,1.1729215714374028,-0.02196258459916938,-0.032881210513135035,-0.1056974682504128,6.859061651275288,7.334982969711483,1.0,0.0,2.590909090909091,0.50665529894942
