phase,path,suffix,size,modified
10_其他可审计文件,mvp_cn/data/raw/yahoo/159928.SZ.json,.json,357018,2026-06-22 10:41:16
10_其他可审计文件,mvp_cn/data/raw/sina/sh512400.csv,.csv,115514,2026-06-22 10:41:18
10_其他可审计文件,mvp_cn/data/raw/yahoo/512400.SS.json,.json,244934,2026-06-22 10:41:20
10_其他可审计文件,mvp_cn/data/raw/sina/sh515220.csv,.csv,83837,2026-06-22 10:41:22
10_其他可审计文件,mvp_cn/data/raw/yahoo/515220.SS.json,.json,176338,2026-06-22 10:41:24
10_其他可审计文件,mvp_cn/data/raw/sina/sh515210.csv,.csv,82409,2026-06-22 10:41:26
10_其他可审计文件,mvp_cn/data/raw/yahoo/515210.SS.json,.json,176025,2026-06-22 10:41:28
10_其他可审计文件,mvp_cn/data/raw/sina/sz159825.csv,.csv,72104,2026-06-22 10:41:30
10_其他可审计文件,mvp_cn/data/raw/yahoo/159825.SZ.json,.json,153395,2026-06-22 10:41:32
10_其他可审计文件,mvp_cn/data/raw/sina/sh512580.csv,.csv,120617,2026-06-22 10:41:35
10_其他可审计文件,mvp_cn/data/raw/yahoo/512580.SS.json,.json,257229,2026-06-22 10:41:36
10_其他可审计文件,mvp_cn/SECOND_ROUND_README.md,.md,918,2026-06-22 10:51:12
10_其他可审计文件,mvp_cn/outputs/second_round/RESULTS.md,.md,4030,2026-06-22 10:51:12
10_其他可审计文件,mvp_cn/data/processed/second_round/broad_monthly_feature_panel.csv,.csv,323125,2026-06-22 10:59:15
10_其他可审计文件,mvp_cn/outputs/second_round/factor_ic_extended.csv,.csv,635,2026-06-22 10:59:15
08_课堂交付,quant-research-platform/projects/final-classroom-delivery/assets/tables/training_window_robustness.csv,.csv,1883,2026-06-22 10:59:19
10_其他可审计文件,mvp_cn/outputs/second_round/coefficient_stability.csv,.csv,7925,2026-06-22 10:59:19
10_其他可审计文件,mvp_cn/outputs/second_round/factor_incremental_tests.csv,.csv,7440,2026-06-22 10:59:19
10_其他可审计文件,mvp_cn/outputs/second_round/fixed_origin_2023_validation.csv,.csv,538,2026-06-22 10:59:19
10_其他可审计文件,mvp_cn/outputs/second_round/fixed_origin_audit_base_5.csv,.csv,345,2026-06-22 10:59:19
10_其他可审计文件,mvp_cn/outputs/second_round/fixed_origin_audit_base_plus_both.csv,.csv,461,2026-06-22 10:59:19
10_其他可审计文件,mvp_cn/outputs/second_round/fixed_origin_daily_returns.csv,.csv,44955,2026-06-22 10:59:19
10_其他可审计文件,mvp_cn/outputs/second_round/fixed_origin_target_weights_base_5.csv,.csv,3234,2026-06-22 10:59:19
10_其他可审计文件,mvp_cn/outputs/second_round/fixed_origin_target_weights_base_plus_both.csv,.csv,3225,2026-06-22 10:59:19
10_其他可审计文件,mvp_cn/outputs/second_round/liquidity_exposure.csv,.csv,57930,2026-06-22 10:59:19
10_其他可审计文件,mvp_cn/outputs/second_round/training_window_robustness.csv,.csv,1883,2026-06-22 10:59:19
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/tables/coefficient_stability.csv,.csv,7925,2026-06-22 10:59:19
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/tables/factor_incremental_tests.csv,.csv,7440,2026-06-22 10:59:19
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/tables/fixed_origin_2023_validation.csv,.csv,538,2026-06-22 10:59:19
10_其他可审计文件,quant-research-platform/projects/strategy-progress-report/assets/tables/training_window_robustness.csv,.csv,1883,2026-06-22 10:59:19
08_课堂交付,quant-research-platform/projects/final-classroom-delivery/assets/figures/strategy_drawdowns.png,.png,199737,2026-06-22 10:59:20
08_课堂交付,quant-research-platform/projects/final-classroom-delivery/assets/figures/strategy_equity_curves.png,.png,164079,2026-06-22 10:59:20
08_课堂交付,quant-research-platform/projects/final-classroom-delivery/assets/tables/component_ablation.csv,.csv,3053,2026-06-22 10:59:20
08_课堂交付,quant-research-platform/projects/final-classroom-delivery/assets/tables/industry_contribution.csv,.csv,1130,2026-06-22 10:59:20
08_课堂交付,quant-research-platform/projects/final-classroom-delivery/assets/tables/regime_metrics.csv,.csv,1242,2026-06-22 10:59:20
10_其他可审计文件,mvp_cn/outputs/second_round/baseline_target_weights.csv,.csv,5135,2026-06-22 10:59:20
10_其他可审计文件,mvp_cn/outputs/second_round/baseline_trade_log.csv,.csv,23698,2026-06-22 10:59:20
10_其他可审计文件,mvp_cn/outputs/second_round/component_ablation.csv,.csv,3053,2026-06-22 10:59:20
10_其他可审计文件,mvp_cn/outputs/second_round/component_daily_returns.csv,.csv,162464,2026-06-22 10:59:20
10_其他可审计文件,mvp_cn/outputs/second_round/figures/drawdowns.png,.png,199737,2026-06-22 10:59:20
10_其他可审计文件,mvp_cn/outputs/second_round/figures/equity_curves.png,.png,164079,2026-06-22 10:59:20
