axis,version,source,start,end,cagr,sharpe,max_drawdown,monthly_win_rate,annual_gross_turnover,note
6ETF/8ETF因子,ETF与因子：6只ETF+八因子等权,mvp_cn/outputs/eight_etf_extended/strategy_metrics_extended.csv,2017-09-20,2026-06-18,0.1915520137068347,0.8971111896665375,-0.2062909963159269,0.6320754716981132,6.4498505369990005,6ETF_8因子等权
6ETF/8ETF因子,ETF与因子：6只ETF+八因子Ridge,mvp_cn/outputs/eight_etf_extended/strategy_metrics_extended.csv,2017-09-20,2026-06-18,0.142289283868082,0.731486167451896,-0.2062909963159281,0.5283018867924528,8.639651887608323,6ETF_8因子Ridge
6ETF/8ETF因子,ETF与因子：8只ETF+八因子Ridge,mvp_cn/outputs/eight_etf_extended/strategy_metrics_extended.csv,2017-09-20,2026-06-18,0.1135621071711252,0.6757350455947655,-0.2258122196574195,0.4339622641509434,7.611894199144823,8ETF_8因子Ridge
6ETF/8ETF因子,ETF与因子：6只ETF+原始五因子Ridge,mvp_cn/outputs/eight_etf_extended/strategy_metrics_extended.csv,2017-09-20,2026-06-18,0.1314281240212622,0.6753416606498218,-0.2744613329497495,0.5471698113207547,7.135514571931691,6ETF_5因子Ridge
6ETF/8ETF因子,ETF与因子：8只ETF+原始五因子Ridge,mvp_cn/outputs/eight_etf_extended/strategy_metrics_extended.csv,2017-09-20,2026-06-18,0.1106116633549127,0.6394767440134956,-0.3035247241596626,0.4056603773584906,6.5008271405093385,8ETF_5因子Ridge
6ETF/8ETF因子,ETF与因子：8只ETF+八因子等权,mvp_cn/outputs/eight_etf_extended/strategy_metrics_extended.csv,2017-09-20,2026-06-18,0.0957590777487382,0.5078030962033556,-0.2511951658314597,0.4811320754716981,8.907271070082171,8ETF_8因子等权
6ETF/8ETF因子,ETF与因子：8ETF等权,mvp_cn/outputs/eight_etf_extended/strategy_metrics_extended.csv,2017-09-20,2026-06-18,0.0601598690732452,0.3914013487590387,-0.3096555253544065,0.5283018867924528,0.0,8ETF等权
6ETF/8ETF因子,ETF与因子：沪深300ETF,mvp_cn/outputs/eight_etf_extended/strategy_metrics_extended.csv,2017-09-20,2026-06-18,0.0505251092051546,0.3483009242882121,-0.4215702301031365,0.5377358490566038,0.0,沪深300ETF
90组规格,6只ETF Ridge｜加入融资变化｜2023年后验证,mvp_cn/outputs/comprehensive_robustness/FINAL_108_merged.csv,,,0.1855388222829017,1.0470077769224622,-0.1532044205019967,0.6666666666666666,,6只宽行业ETF 加入融资变化 Ridge
90组规格,6只ETF Ridge｜加入利率利差｜2023年后验证,mvp_cn/outputs/comprehensive_robustness/FINAL_108_merged.csv,,,0.1953528915640867,0.9803155173320042,-0.1898057377502808,0.5476190476190477,,6只宽行业ETF 加入利率利差 Ridge
90组规格,6只ETF Ridge｜加入黄金动量｜2023年后验证,mvp_cn/outputs/comprehensive_robustness/FINAL_108_merged.csv,,,0.1903026125193272,0.968395383759495,-0.1753027170402762,0.6190476190476191,,6只宽行业ETF 加入黄金动量 Ridge
90组规格,6只ETF Ridge｜加入商品动量｜2023年后验证,mvp_cn/outputs/comprehensive_robustness/FINAL_108_merged.csv,,,0.1788804928784597,0.920883918083798,-0.191452273831977,0.5952380952380952,,6只宽行业ETF 加入商品动量 Ridge
90组规格,6只ETF Ridge｜动量+低波动｜2023年后验证,mvp_cn/outputs/comprehensive_robustness/FINAL_108_merged.csv,,,0.1776837318118715,0.9179338734963844,-0.1616817137752422,0.5714285714285714,,6只宽行业ETF 动量+低波动 Ridge
90组规格,6只ETF Ridge｜加入融资变化｜2019年后验证,mvp_cn/outputs/comprehensive_robustness/FINAL_108_merged.csv,,,0.1661129571108182,0.8545110338868946,-0.2594224799644388,0.6222222222222222,,6只宽行业ETF 加入融资变化 Ridge
90组规格,6只ETF Ridge｜加入黄金动量｜2019年后验证,mvp_cn/outputs/comprehensive_robustness/FINAL_108_merged.csv,,,0.1660649694057461,0.8256377359876889,-0.2492607023174048,0.6111111111111112,,6只宽行业ETF 加入黄金动量 Ridge
90组规格,6只ETF Ridge｜加入商品动量｜2019年后验证,mvp_cn/outputs/comprehensive_robustness/FINAL_108_merged.csv,,,0.1631440967736919,0.813786971878461,-0.2499930070302448,0.6,,6只宽行业ETF 加入商品动量 Ridge
90组规格,6只ETF Ridge｜加入利率利差｜2019年后验证,mvp_cn/outputs/comprehensive_robustness/FINAL_108_merged.csv,,,0.1593123479120539,0.8042762081176459,-0.3201200442972333,0.5666666666666667,,6只宽行业ETF 加入利率利差 Ridge
