factor,dimension,formula,source,intuition,status,coverage,ic_months,mean_spearman_ic,median_spearman_ic,ic_std,ic_positive_share,bootstrap_ci_low,bootstrap_ci_high,max_abs_corr_with_existing,subperiod_sign_matches,median_abs_z_change,ic_2018_2020,ic_2021_2022,ic_2023_2024,ic_2025_2026
skew_63,risk,"skew(r,63)",adjusted_close,return asymmetry,weak_or_unstable,0.9548872180451128,127,0.04521934758155231,0.028571428571428574,0.4705577189114061,0.5433070866141733,-0.023644544431946007,0.12308211473565801,0.20207309925835862,2,0.47092990212348,0.10000000000000003,-0.030952380952380943,-0.05952380952380953,0.14285714285714288
low_beta_126,risk,"-cov(r_i,r_m)/var(r_m),126",adjusted_close+benchmark,low market beta,weak_or_unstable,0.9323308270676691,124,0.023963133640553004,-0.028571428571428574,0.49941578076220366,0.4838709677419355,-0.053940092165898616,0.11753456221198157,0.1756360031826505,2,0.15784134569098887,-0.0634920634920635,0.09523809523809525,0.15,-0.13613445378151265
amplitude_mean_20,intraday,"mean(amplitude,20)",AKShare Eastmoney,reported amplitude,weak_or_unstable,0.9335839598997494,129,0.018050941306755264,0.028571428571428574,0.4818303199323785,0.5038759689922481,-0.05560908084163899,0.09435769656699888,0.6891797911491893,3,0.5829739954987285,0.0503968253968254,0.015476190476190485,-0.11904761904761905,0.18319327731092439
reversal_21,reversal,-(P_t/P_{t-21}-1),adjusted_close,one-month reversal,weak_or_unstable,0.9774436090225563,130,0.01626373626373627,0.0,0.5261332345492382,0.5,-0.07210989010989012,0.11170329670329666,0.5238205156839597,2,1.1599493980797861,-0.13650793650793652,0.04761904761904762,0.019047619047619035,-0.12268907563025211
intraday_return_20,intraday,"mean(close/open-1,20)",AKShare Sina OHLC,intraday pressure,weak_or_unstable,0.9348370927318296,129,-0.01517165005537099,0.028571428571428574,0.5003020514243264,0.5038759689922481,-0.07818660022148394,0.0593687707641196,0.4235396321295845,2,1.0350399056547275,0.053571428571428575,-0.09166666666666667,-0.11904761904761907,0.021848739495798332
mom_21,trend,P_t/P_{t-21}-1,adjusted_close,short momentum,weak_or_unstable,0.9774436090225563,130,-0.01626373626373627,0.0,0.5261332345492382,0.5,-0.1094835164835165,0.07296703296703295,0.5238205156839597,2,1.1599493980797861,0.13650793650793652,-0.04761904761904762,-0.019047619047619035,0.12268907563025211
low_vol_21,risk,"-std(r,21)*sqrt(252)",adjusted_close,short low volatility,weak_or_unstable,0.9774436090225563,130,-0.0167032967032967,0.028571428571428574,0.41856588562141384,0.5076923076923077,-0.09186813186813186,0.040901098901098894,0.7863551633734331,3,0.7568129783404831,-0.025396825396825393,-0.11190476190476191,0.08333333333333333,-0.06554621848739497
range_compression_20,intraday,"-mean((high-low)/prev_close,20)",AKShare Sina OHLC,range compression,weak_or_unstable,0.9335839598997494,129,-0.018050941306755264,-0.028571428571428574,0.4818303199323785,0.4883720930232558,-0.08516334440753047,0.048842746400885914,0.6891797911491893,3,0.5829739954987285,-0.0503968253968254,-0.015476190476190485,0.11904761904761905,-0.18319327731092439
amount_acceleration_20_120,activity,"log(mean(amount,20)/mean(amount,120))",AKShare Sina amount,trading activity acceleration,weak_or_unstable,0.899749373433584,122,-0.025526932084309124,0.028571428571428574,0.43183811889605184,0.5163934426229508,-0.12436768149882906,0.05271077283372364,0.2304949446718059,3,0.7328715895686904,-0.01877551020408162,-0.1880952380952381,-0.07261904761904764,0.13277310924369748
volume_acceleration_20_120,activity,"log(mean(volume,20)/mean(volume,120))",AKShare Sina volume,share-volume acceleration,weak_or_unstable,0.8045112781954887,119,-0.025930372148859536,0.0,0.4836123383060683,0.4957983193277311,-0.12906062424969988,0.049000600240096025,0.10995619580639934,3,0.7840138147200122,-0.005555555555555549,-0.15535714285714286,-0.05119047619047618,0.11596638655462185
low_idio_vol_126,risk,"-std(r_i-beta*r_m,126)*sqrt(252)",adjusted_close+benchmark,low residual risk,weak_or_unstable,0.8872180451127819,118,-0.030992736077481847,-0.028571428571428574,0.4508352427814091,0.4745762711864407,-0.11670702179176753,0.04648910411622277,0.7247666844068188,2,0.10622438965071347,0.04126984126984128,-0.13571428571428573,0.045238095238095244,-0.15966386554621853
