scheme_id,scheme_name,factor_group,method,wall_date,wall_year,n_factors,start,end,cagr,ann_vol,sharpe,max_drawdown,calmar,monthly_win_rate,annual_gross_turnover,daily_win_rate,monthly_win_rate_recalc,best_day,worst_day,var_5_daily,cvar_5_daily,skew,kurtosis,total_return,avg_target_exposure,cash_signal_share,rank_ic_mean,rank_ic_positive_share,topk_hit_rate,ic_months
base5_equal,原五因子等权,base5,equal_weight,2020-01-01,2020,5,2015-07-03,2026-06-18,0.1167278467542394,0.1791142171108799,0.7062730020215143,-0.2671291768050186,0.4369715362071465,0.3787878787878788,3.573296998725309,0.3147653567340709,0.3816793893129771,0.100165574826663,-0.0999314674843773,-0.0167815532690341,-0.0285076836402689,-0.2869102331265977,12.345884923708098,2.152756649267052,0.5864661654135338,0.4135338345864661,0.187047619047619,0.6133333333333333,0.5811965811965812,75
base5_equal,原五因子等权,base5,equal_weight,2021-01-01,2021,5,2015-07-03,2026-06-18,0.076069334817139,0.1600842607337397,0.5381534790861087,-0.2671291768050187,0.2847661035269956,0.303030303030303,3.0970642656470955,0.26211369706219,0.3053435114503817,0.100165574826663,-0.0999314674843773,-0.0151213856610915,-0.0258182359237577,-0.0897929224568673,16.646380176331007,1.1436995916929278,0.4962406015037593,0.5037593984962406,0.1265306122448979,0.5714285714285714,0.5656565656565657,63
base5_equal,原五因子等权,base5,equal_weight,2022-01-01,2022,5,2015-07-03,2026-06-18,0.0580576122726459,0.1451758958493024,0.4613893194719466,-0.267129176805018,0.2173390902747518,0.2424242424242424,2.670260894798132,0.2109881724532621,0.2442748091603053,0.100165574826663,-0.0999314674843773,-0.0123094075632966,-0.0232412385942338,0.0231102776414471,24.43332258479375,0.7985244214442753,0.4060150375939849,0.5939849624060151,0.138375350140056,0.5686274509803921,0.5740740740740741,51
base5_equal,原五因子等权,base5,equal_weight,2023-01-01,2023,5,2015-07-03,2026-06-18,0.0668264585796984,0.114555963133661,0.6218139299607355,-0.1496710802364513,0.4464887837658792,0.1969696969696969,1.553211674054556,0.1659671880961465,0.1984732824427481,0.100165574826663,-0.0999314674843773,-0.0083221716397167,-0.0169810802742941,0.9674749324149156,52.08877710319373,0.9597360861071836,0.3157894736842105,0.6842105263157895,0.219047619047619,0.6410256410256411,0.5952380952380951,39
base5_equal,原五因子等权,base5,equal_weight,2024-01-01,2024,5,2015-07-03,2026-06-18,0.0712431349358531,0.104997606718294,0.7077946037059067,-0.149671080236451,0.4759980005710046,0.1515151515151515,1.0526672533730752,0.1247615413964135,0.1526717557251908,0.100165574826663,-0.0999314674843773,-0.0060079975555283,-0.0148333041207536,1.236160100730532,73.56652383004023,1.0457824988568731,0.225563909774436,0.7744360902255639,0.2169312169312169,0.6296296296296297,0.5777777777777776,27
base5_equal,原五因子等权,base5,equal_weight,2025-01-01,2025,5,2015-07-03,2026-06-18,0.0388562610002996,0.0689488032217126,0.5875877590395003,-0.1216001569969332,0.3195412075107727,0.106060606060606,0.574124256633393,0.0763067531476535,0.1068702290076335,0.0340531810845614,-0.0647722539139788,-0.0006571468994547,-0.0096896746204366,-1.926490936306728,54.2078890091211,0.4865856603212362,0.1353383458646616,0.8646616541353384,0.2266666666666666,0.6,0.5555555555555556,15
base5_equal,原五因子等权,base5,equal_weight,2026-01-01,2026,5,2015-07-03,2026-06-18,0.0128312817965996,0.0482234341751811,0.2886346676078083,-0.1216001569969332,0.1055202732750028,0.0378787878787878,0.1593976333965876,0.0232735597100343,0.0381679389312977,0.0340531810845614,-0.0639346346398675,0.0,-0.0002022059422984,-2.5659007850075937,124.0935106008679,0.1418006866663692,0.0451127819548872,0.9548872180451128,0.6761904761904761,1.0,0.6111111111111112,3
base5_ridge,原五因子Ridge,base5,ridge,2020-01-01,2020,5,2015-07-03,2026-06-18,0.1087405903797831,0.1783853715942229,0.6681333833841094,-0.2582045142239878,0.4211413216635422,0.3636363636363636,3.960089611320527,0.3109500190766883,0.366412213740458,0.100165574826663,-0.0999314674843773,-0.0175585518463237,-0.0282493521012046,-0.2310907320216242,12.17021091836554,1.9259508673674488,0.5864661654135338,0.4135338345864661,-0.0019047619047619,0.4933333333333333,0.4700854700854701,75
base5_ridge,原五因子Ridge,base5,ridge,2021-01-01,2021,5,2015-07-03,2026-06-18,0.0813870806319405,0.1607633769648071,0.5672161424249426,-0.2582045142239872,0.3152039416372825,0.3181818181818182,3.2882792318060194,0.2598244944677604,0.3206106870229007,0.100165574826663,-0.0999314674843773,-0.0147523601254394,-0.0257558281312695,-0.0621248642091412,16.680201901416552,1.2564785385287602,0.4962406015037593,0.5037593984962406,0.0684807256235827,0.5396825396825397,0.4949494949494949,63
base5_ridge,原五因子Ridge,base5,ridge,2022-01-01,2022,5,2015-07-03,2026-06-18,0.0580960822220972,0.1463902339179767,0.4590547241129299,-0.2582045142239881,0.2250002576318239,0.25,2.99425416954496,0.2086989698588325,0.2519083969465648,0.100165574826663,-0.0999314674843773,-0.0120562039123145,-0.0235034578179035,-0.052276282499048,24.22473583918893,0.7992046726840696,0.4060150375939849,0.5939849624060151,0.0252100840336134,0.4901960784313725,0.4753086419753086,51
base5_ridge,原五因子Ridge,base5,ridge,2023-01-01,2023,5,2015-07-03,2026-06-18,0.0669732038494845,0.1160847420854157,0.6163729637797793,-0.1628663546403,0.411215711172506,0.2045454545454545,1.810216790257484,0.1636779855017169,0.2061068702290076,0.100165574826663,-0.0999314674843773,-0.0082892443393724,-0.017171269313269,0.7797376809916169,50.99036363020007,0.9625416180315988,0.3157894736842105,0.6842105263157895,0.0783882783882783,0.5128205128205128,0.5079365079365078,39
base5_ridge,原五因子Ridge,base5,ridge,2024-01-01,2024,5,2015-07-03,2026-06-18,0.066212101879159,0.1071462863524285,0.6518239232842996,-0.1628663546403002,0.4065425423525461,0.1515151515151515,1.2344506795900083,0.1224723388019839,0.1526717557251908,0.100165574826663,-0.0999314674843773,-0.0062062230918959,-0.0152160526613645,0.9969524174781228,70.33673763936524,0.9480298943593896,0.225563909774436,0.7744360902255639,0.1238095238095238,0.5555555555555556,0.5111111111111112,27
base5_ridge,原五因子Ridge,base5,ridge,2025-01-01,2025,5,2015-07-03,2026-06-18,0.0349103625117568,0.0709820987274742,0.519201635987867,-0.1216001569969332,0.2870914263098958,0.106060606060606,0.7664232516214369,0.0736360167874856,0.1068702290076335,0.0340531810845614,-0.0733377243698227,-0.0006439590599158,-0.0100835180922032,-2.3123558876233226,59.83393584478427,0.4288948704689572,0.1353383458646616,0.8646616541353384,0.2571428571428572,0.6666666666666666,0.5740740740740741,15
base5_ridge,原五因子Ridge,base5,ridge,2026-01-01,2026,5,2015-07-03,2026-06-18,0.0128312817965996,0.0482234341751811,0.2886346676078083,-0.1216001569969332,0.1055202732750028,0.0378787878787878,0.1593976333965876,0.0232735597100343,0.0381679389312977,0.0340531810845614,-0.0639346346398675,0.0,-0.0002022059422984,-2.5659007850075937,124.0935106008679,0.1418006866663692,0.0451127819548872,0.9548872180451128,0.6761904761904761,1.0,0.6111111111111112,3
momentum_elastic,核心动量ElasticNet,momentum_core,elastic_net,2020-01-01,2020,5,2015-07-03,2026-06-18,0.1140449199920823,0.1772620017847981,0.6981531865410985,-0.2582045142239877,0.4416844544133355,0.3636363636363636,4.400406680836773,0.3113315528424265,0.366412213740458,0.100165574826663,-0.0999314674843773,-0.0167918218777795,-0.0278591042131071,-0.1997272088709818,12.715683552875188,2.074859890818494,0.5864661654135338,0.4135338345864661,0.0163809523809523,0.4933333333333333,0.5213675213675214,75
momentum_elastic,核心动量ElasticNet,momentum_core,elastic_net,2021-01-01,2021,5,2015-07-03,2026-06-18,0.0834822024931947,0.1595091064516115,0.5825693042995057,-0.2582045142239881,0.3233181369585788,0.3181818181818182,3.6110814427721016,0.2609690957649752,0.3206106870229007,0.100165574826663,-0.0999314674843773,-0.0146264359404031,-0.0255611345680719,-0.0902802234811947,17.09215997749166,1.302364965601901,0.4962406015037593,0.5037593984962406,0.1138321995464852,0.5714285714285714,0.5505050505050505,63
momentum_elastic,核心动量ElasticNet,momentum_core,elastic_net,2022-01-01,2022,5,2015-07-03,2026-06-18,0.0595495702036241,0.14542592263132,0.4705759552560634,-0.2582045142239881,0.2306294697542193,0.25,3.232442527510228,0.2098435711560473,0.2519083969465648,0.100165574826663,-0.0999314674843773,-0.0119047506416014,-0.0232929398265969,-0.0606376866193112,24.83256911654651,0.8250772262648571,0.4060150375939849,0.5939849624060151,0.0991596638655462,0.5294117647058824,0.5493827160493827,51
momentum_elastic,核心动量ElasticNet,momentum_core,elastic_net,2023-01-01,2023,5,2015-07-03,2026-06-18,0.0684295120935329,0.1148666947081316,0.633565736444526,-0.1619222316415266,0.4226072689328197,0.2121212121212121,2.0542108284072205,0.1648225867989317,0.2137404580152671,0.100165574826663,-0.0999314674843773,-0.0081034752443639,-0.0168836621709074,0.7913378511052873,53.0025785344148,0.9905813010599462,0.3157894736842105,0.6842105263157895,0.1399267399267399,0.5384615384615384,0.5555555555555555,39
momentum_elastic,核心动量ElasticNet,momentum_core,elastic_net,2024-01-01,2024,5,2015-07-03,2026-06-18,0.0684403092520529,0.1058804329561105,0.6780705676193485,-0.1619222316415272,0.4226739500698707,0.1515151515151515,1.54461103638661,0.1232354063334605,0.1526717557251908,0.100165574826663,-0.0999314674843773,-0.005955661207862,-0.0148838153609031,1.0117123878354153,73.4748915509625,0.9907905342765192,0.225563909774436,0.7744360902255639,0.1534391534391534,0.5555555555555556,0.5555555555555555,27
momentum_elastic,核心动量ElasticNet,momentum_core,elastic_net,2025-01-01,2025,5,2015-07-03,2026-06-18,0.0369607694075648,0.0695552355962486,0.5568749268510964,-0.1216001569969333,0.3039533033538516,0.106060606060606,1.0070381035077869,0.0743990843189622,0.1068702290076335,0.0340531810845614,-0.0733377243698227,-0.0007130328833815,-0.0097727730566301,-2.4933774896591183,63.51195887051249,0.4586150953514014,0.1353383458646616,0.8646616541353384,0.2,0.5333333333333333,0.5740740740740741,15
