date,sh510150,sh510170,sh510230,sz159929,sz159930,sh512330
2011-01-25,,1.0,,,,
2011-01-26,,1.0122787718438426,,,,
2011-01-27,,1.0390032639838649,,,,
2011-01-28,,1.0473095122553515,,,,
2011-01-31,,1.06175514644876,,,,
2011-02-01,,1.0823401665640895,,,,
2011-02-09,,1.0566991917016215,,,,
2011-02-10,,1.076561895666172,,,,
2011-02-11,,1.074756234443382,,,,
2011-02-14,,1.1206211143971758,,,,
2011-02-15,,1.132177656193011,,,,
2011-02-16,,1.1556518548086852,,,,
2011-02-17,,1.151318130109554,,,,
2011-02-18,,1.1361501797653668,,,,
2011-02-21,,1.1614301257066029,,,,
2011-02-22,,1.1394004732897152,,,,
2011-02-23,,1.1487901527359847,,,,
2011-02-24,,1.158540947206258,,,,
2011-02-25,1.0,1.1542073086098985,,,,
2011-02-28,1.0120547498618766,1.1664860804537411,,,,
2011-03-01,1.0195060857983156,1.1715420352008796,,,,
2011-03-02,1.0169312713114556,1.1682917416765313,,,,
2011-03-03,1.0016384126139632,1.1552906536819096,,,,
2011-03-04,1.0071782284122976,1.1693751728513142,,,,
2011-03-07,1.0149806859847124,1.2231852721553629,,,,
2011-03-08,1.018530735002223,1.2206572947817933,,,,
2011-03-09,1.017906505842106,1.2119898453835312,,,,
2011-03-10,1.0143173916359571,1.182015145821932,,,,
2011-03-11,1.0140053351886198,1.169375172851314,,,,
2011-03-14,1.024070434535115,1.170097489002093,,,,
2011-03-15,1.0078023413069723,1.145539859211636,,,,
2011-03-16,1.01658014967548,1.17840373727358,,,,
2011-03-17,1.003589114206149,1.159624378381041,,,,
2011-03-18,1.0078023413069723,1.1650415342549547,,,,
2011-03-21,1.003276941493369,1.1643192181041755,,,,
2011-03-22,0.9928607205108984,1.171180920176876,,,,
2011-03-23,1.002301706962719,1.1834596920207188,,,,
2011-03-24,1.0039011706534862,1.1798482834723667,,,,
2011-03-25,1.0071782284122976,1.2018779358892542,,,,
2011-03-28,1.0003510053705331,1.205128143310831,,,,
2011-03-29,0.9769437489187311,1.1820151458219323,,,,
2011-03-30,0.9756172764866626,1.1935716876177676,,,,
2011-03-31,0.9691412913463162,1.1791260534243593,,,,
2011-04-01,0.9717161058331764,1.1989887573889095,,,,
2011-04-06,0.9749931054592668,1.220296093655018,,,,
2011-04-07,0.974641983823291,1.2217406398538049,,,,
2011-04-08,0.9847462064911456,1.238714337523554,,,,
2011-04-11,0.98439508485517,1.2379920213727749,,,,
2011-04-12,0.9840829121423904,1.21704580013067,,,,
2011-04-13,0.9957866566337336,1.2271577957277189,,,,
2011-04-14,0.9928607205108978,1.2141567077330973,,,,
2011-04-15,0.989271606304749,1.2170458001306703,,,,
2011-04-18,0.9808449195722172,1.2130732765583143,,,,
2011-04-19,0.9808449195722172,1.188154531743854,,,,
2011-04-20,0.989271606304749,1.1950162338165544,,,,
2011-04-21,0.9882962555086564,1.2123510465103071,,,,
