,季度动量,半年动量,一年动量,趋势质量,低波动
季度动量,1.0,0.6954153863073158,0.5376509405829519,0.5830738854528723,-0.2121756625219572
半年动量,0.6954153863073158,1.0,0.7330408540620525,0.8255613655657525,-0.18846989177282955
一年动量,0.5376509405829519,0.7330408540620525,1.0,0.6281934092529746,-0.2008992321217186
趋势质量,0.5830738854528723,0.8255613655657525,0.6281934092529746,1.0,-0.23659401166199592
低波动,-0.2121756625219572,-0.18846989177282955,-0.2008992321217186,-0.23659401166199592,1.0
