period,start,end,sample_days,component,cagr,ann_vol,sharpe,max_drawdown,calmar,monthly_win_rate,annual_gross_turnover,版本
full_walk_forward,2020-10-12,2026-06-18,1355,ranking_only,0.047217809181238,0.2031007234349748,0.3287263898368558,-0.3650914744609206,0.1293314483745697,0.5072463768115942,6.075276752767528,仅因子排序
full_walk_forward,2020-10-12,2026-06-18,1355,ranking_plus_trend,0.2033379977894793,0.2262055645275052,0.9318909782298912,-0.2161913118613819,0.9405465744148688,0.6376811594202898,5.703321033210332,排序 + 趋势过滤
full_walk_forward,2020-10-12,2026-06-18,1355,ranking_plus_inverse_vol,0.0353484377363133,0.1959604223565359,0.2752914401877279,-0.3533011050206028,0.1000518742624708,0.5217391304347826,7.371875970412539,排序 + 反波动率权重
full_walk_forward,2020-10-12,2026-06-18,1355,complete_base,0.2006367781250759,0.2222974154658024,0.93415032467806,-0.2187012881430867,0.9174009893979592,0.6086956521739131,6.663441014429135,完整基准策略
full_walk_forward,2020-10-12,2026-06-18,1355,complete_plus_amount,0.18244585095582,0.2184374761810963,0.8767571599103489,-0.2187012881430871,0.834223943100204,0.6376811594202898,7.634353918260418,完整策略 + 成交额因子
